custentity_hs_vid,salesreadines,buyingtimeframe,buyingreason,Projected Value
4475316,,,,"$15,000 - $29,000"
4491959,,,,"$15,000 - $29,000"
4475826,,,,"$15,000 - $29,000"
253690,,,,"$50,000 - $65,000"
262909,,,,"$39,000 - $44,000"
4475838,Cold,,,
4491198,,,,"$15,000 - $29,000"
4491193,,,,"$15,000 - $29,000"
4492731,Warm,,,
5661780,,,,"$15,000"
5663572,,,,"$15,000"
5661269,,,,"$15,000 - $29,000"
5655889,,,,"$39,000 - $44,000"
5671773,,,,"$15,000 - $29,000"
5710172,,,,"$39,000 - $44,000"
5664603,,,,"$15,000"
5703002,,,,"$15,000 - $29,000"
5687366,,,,"$15,000 - $29,000"
5668419,,,,"$15,000 - $29,000"
5660751,,,,"$15,000 - $29,000"
5695308,,,,"$15,000 - $29,000"
5681739,,,,"$177,000 - $200,000"
5683574,Warm,,,"$50,000 - $65,000"
5662583,,,,"$39,000 - $44,000"
5694071,,,,"$15,000 - $29,000"
5695092,,,,"$15,000 - $29,000"
5682034,,,,"$15,000 - $29,000"
5656703,,,,"$15,000 - $29,000"
5695611,Cold,,,
5658745,Warm,,,"$39,000 - $44,000"
5692262,,,,"$39,000 - $44,000"
5682279,,,,"$15,000 - $29,000"
5675618,,,,"$15,000 - $29,000"
5674336,,,,"$15,000 - $29,000"
5667436,,,,"$39,000 - $44,000"
5698581,,,,"$39,000 - $44,000"
5759249,,,,"$15,000 - $29,000"
5666591,,,,"$15,000"
5697565,,,,"$15,000 - $29,000"
5657113,,,,"$15,000 - $29,000"
5705473,,,,"$15,000"
5656847,,,,"$15,000 - $29,000"
5679887,,,,"$39,000 - $44,000"
5674763,,,,"$15,000 - $29,000"
5689398,,,,"$15,000"
5676851,,,,"$15,000 - $29,000"
5693232,,,,"$15,000"
5706557,,,,"$50,000 - $65,000"
5668413,,,,"$15,000"
5679161,,,,"$15,000"
5693222,,,,"$15,000"
5673511,,,,"$15,000 - $29,000"
5688356,,,,"$39,000 - $44,000"
5668642,,,,"$15,000"
5709603,,,,"$39,000 - $44,000"
5669167,,,,"$15,000 - $29,000"
5698772,,,,"$39,000 - $44,000"
5693650,,,,"$39,000 - $44,000"
5686492,,,,"$39,000 - $44,000"
5684184,,,,"$78,000 - $107,000"
5706693,,,,"$15,000"
5660101,,,,"$15,000 - $29,000"
5703616,,,,"$15,000 - $29,000"
5667528,,,,"$15,000 - $29,000"
5655241,,,,"$15,000 - $29,000"
5668041,,,,"$15,000"
5694153,,,,"$15,000 - $29,000"
5655030,,,,"$39,000 - $44,000"
5667319,,,,"$15,000 - $29,000"
5670900,Warm,,,"$50,000 - $65,000"
5677301,,,,"$15,000"
5676531,,,,"$15,000 - $29,000"
5705201,,,,"$15,000"
5667326,,,,"$15,000 - $29,000"
5692669,,,,"$15,000"
5671162,,,,"$39,000 - $44,000"
5697254,,,,"$15,000"
5678819,,,,"$15,000 - $29,000"
5685230,,,,"$50,000 - $65,000"
5677039,,,,"$15,000 - $29,000"
5661933,,,,"$39,000 - $44,000"
5688552,,,,"$50,000 - $65,000"
5681811,,,,"$15,000 - $29,000"
5694355,,,,"$15,000"
5662097,,,,"$78,000 - $107,000"
5678993,,,,"$15,000 - $29,000"
5661597,,,,"$50,000 - $65,000"
5688731,,,,"$78,000 - $107,000"
5674648,,,,"$15,000 - $29,000"
5704857,,,,"$78,000 - $107,000"
5676175,,,,"$15,000"
5696653,,,,"$15,000 - $29,000"
5675656,,,,"$50,000 - $65,000"
5709750,,,,"$15,000 - $29,000"
5668020,,,,"$39,000 - $44,000"
5669813,,,,"$15,000"
5704883,,,,"$15,000"
5694384,,,,"$15,000 - $29,000"
5705136,,,,"$15,000 - $29,000"
5683390,,,,"$15,000 - $29,000"
5703615,,,,"$50,000 - $65,000"
5661116,Hot,,,
5697213,,,,"$15,000"
5658278,,,,"$15,000 - $29,000"
5678245,,,,"$15,000 - $29,000"
5655457,,,,"$15,000 - $29,000"
5663661,,,,"$50,000 - $65,000"
5678253,,,,"$39,000 - $44,000"
5707948,,,,"$50,000 - $65,000"
47106251,,,,"$15,000 - $29,000"
33561862,,,,"$15,000 - $29,000"
48492005,,,,"$39,000 - $44,000"
49071851,,,,"$39,000 - $44,000"
13030350,,,,"$15,000 - $29,000"
13034190,,,,"$15,000 - $29,000"
21269327,,,,"$15,000 - $29,000"
21275464,,,,"$15,000"
11312801,,,,"$15,000 - $29,000"
6546803,,,,"$78,000 - $107,000"
6331251,,,,"$15,000 - $29,000"
49041151,,,,"$15,000 - $29,000"
48051401,,,,"$39,000 - $44,000"
47204551,,,,"$39,000 - $44,000"
37684251,,,,"$39,000 - $44,000"
8991151,,,,"$15,000 - $29,000"
18835251,,,,"$15,000 - $29,000"
37028377,,,,"$106,000 - $140,000"
6538066,,,,"$15,000 - $29,000"
33560885,,,,"$15,000 - $29,000"
6537561,,,,"$15,000 - $29,000"
