custentity_hs_vid,salesreadines,buyingtimeframe,buyingreason,Projected Value
138131601,,,,"$15,000 - $29,000"
132776001,,,,"$15,000 - $29,000"
133089601,,,,"$50,000 - $65,000"
139153151,,,,"$15,000"
132455251,,,,"$39,000 - $44,000"
132817501,,,,"$15,000 - $29,000"
137275801,,,,"$15,000 - $29,000"
137404551,,,,"$15,000"
135495851,,,,"$15,000 - $29,000"
133073751,,,,"$39,000 - $44,000"
132642651,,,,"$15,000 - $29,000"
135139251,,,,"$15,000"
139141001,,,,"$15,000 - $29,000"
134743501,,,,"$15,000 - $29,000"
136133851,,,,"$15,000 - $29,000"
137529851,,,,"$39,000 - $44,000"
136557801,,,,"$39,000 - $44,000"
137785851,,,,"$15,000 - $29,000"
138466701,,,,"$15,000 - $29,000"
135583451,,,,"$15,000"
135796951,,,,"$15,000 - $29,000"
133432101,,,,"$39,000 - $44,000"
136427001,,,,"$15,000 - $29,000"
136945651,Cold,,,
137541101,,,,"$15,000"
133119502,Warm,,,
133219601,,,,"$15,000 - $29,000"
135398901,,,,"$39,000 - $44,000"
132654851,,,,"$15,000 - $29,000"
135806451,,,,"> $200,000"
137575901,,,,"$15,000 - $29,000"
138898601,,,,"$39,000 - $44,000"
136458701,,,,"$15,000 - $29,000"
132585751,,,,"$15,000 - $29,000"
138009551,,,,"> $200,000"
133245451,,,,"$15,000 - $29,000"
137168851,,,,"$15,000 - $29,000"
140467551,,,,"$15,000 - $29,000"
141226601,,,,"$15,000 - $29,000"
140782701,,,,"$15,000 - $29,000"
141972351,,,,"$15,000 - $29,000"
142629001,,,,"$39,000 - $44,000"
143132801,,,,"$39,000 - $44,000"
143369601,,,,"$15,000 - $29,000"
143249051,,,,"$39,000 - $44,000"
141617251,,,,"$39,000 - $44,000"
139497801,,,,"$15,000 - $29,000"
143468951,,,,"$15,000 - $29,000"
144229251,,,,"$106,000 - $140,000"
141433201,,,,"$39,000 - $44,000"
143069351,,,,"$15,000 - $29,000"
141065801,,,,"$15,000 - $29,000"
141760601,,,,"$39,000 - $44,000"
142605901,,,,"$15,000"
143458751,,,,"$15,000 - $29,000"
144172451,,,,"$15,000 - $29,000"
140514901,,,,"$50,000 - $65,000"
143824551,,,,"$15,000 - $29,000"
142298701,,,,"$15,000 - $29,000"
139378551,,,,"$39,000 - $44,000"
141840951,,,,"$15,000 - $29,000"
140937001,,,,"$15,000 - $29,000"
141958201,,,,"$78,000 - $107,000"
143406301,,,,"$15,000 - $29,000"
143643101,,,,"$78,000 - $107,000"
142249001,Cold,,,
143267801,,,,"$39,000 - $44,000"
141245501,,,,"$15,000 - $29,000"
139324951,,,,"$15,000 - $29,000"
140364551,,,,"$15,000 - $29,000"
142193701,,,,"$15,000"
140349501,,,,"$106,000 - $140,000"
141887251,,,,"$15,000 - $29,000"
143966451,,,,"$15,000 - $29,000"
139260451,,,,"$15,000"
141798151,,,,"$15,000 - $29,000"
140469802,,,,"$15,000 - $29,000"
142009601,,,,"$15,000"
139428151,,,,"$39,000 - $44,000"
140600601,,,,"$15,000 - $29,000"
141029151,,,,"$15,000"
143071751,,,,"$78,000 - $107,000"
142995201,,,,"$15,000"
140272601,,,,"$15,000"
143393801,,,,"$15,000 - $29,000"
143662101,,,,"$15,000 - $29,000"
142749701,,,,"$106,000 - $140,000"
142640651,,,,"$78,000 - $107,000"
143195651,,,,"$15,000 - $29,000"
141259751,,,,"$39,000 - $44,000"
142101751,,,,"$106,000 - $140,000"
144050951,,,,"$78,000 - $107,000"
144074501,,,,"$15,000 - $29,000"
142727451,,,,"$39,000 - $44,000"
142469601,,,,"$78,000 - $107,000"
140593151,,,,"$15,000"
140919801,,,,"$39,000 - $44,000"
140642251,,,,"$15,000"
139880701,,,,"$15,000"
140350451,,,,"$39,000 - $44,000"
141196251,,,,"$39,000 - $44,000"
142385101,,,,"$15,000 - $29,000"
140631251,,,,"$50,000 - $65,000"
139775201,,,,"$15,000 - $29,000"
142408651,,,,"$39,000 - $44,000"
142524101,,,,"$39,000 - $44,000"
143383351,,,,"$15,000 - $29,000"
144205351,,,,"$50,000 - $65,000"
141716401,,,,"$15,000 - $29,000"
141174701,,,,"$39,000 - $44,000"
143442501,,,,"$15,000 - $29,000"
142204851,,,,"$15,000"
143636801,,,,"$15,000 - $29,000"
143012951,,,,"$15,000 - $29,000"
141127601,,,,"$106,000 - $140,000"
141536951,,,,"$15,000 - $29,000"
143141201,,,,"$15,000 - $29,000"
143358801,,,,"$15,000 - $29,000"
141692051,,,,"$15,000 - $29,000"
142399901,,,,"$15,000 - $29,000"
143946101,,,,"$78,000 - $107,000"
141466251,Warm,,,"$39,000 - $44,000"
143922301,,,,"$15,000 - $29,000"
141334151,,,,"$15,000 - $29,000"
141617051,,,,"$39,000 - $44,000"
144162151,,,,"$15,000 - $29,000"
140278702,,,,"$39,000 - $44,000"
143118451,,,,"$15,000"
143412601,,,,"$15,000 - $29,000"
143374451,,,,"$15,000 - $29,000"
143984751,,,,"$15,000 - $29,000"
141739401,,,,"$15,000 - $29,000"
142887551,,,,"$78,000 - $107,000"
140020901,,,,"$39,000 - $44,000"
143534451,,,,"$15,000 - $29,000"
139583151,,,,"$39,000 - $44,000"
142095751,Cold,,,
144251801,,,,"$39,000 - $44,000"
146036401,,,,"$78,000 - $107,000"
145944501,,,,"$15,000 - $29,000"
147860951,,,,"$78,000 - $107,000"
145744551,,,,"$39,000 - $44,000"
148379601,,,,"$39,000 - $44,000"
148799701,,,,"$15,000 - $29,000"
145546401,,,,"$15,000 - $29,000"
148188101,,,,"$15,000 - $29,000"
148467401,,,,"$78,000 - $107,000"
146539951,,,,"$106,000 - $140,000"
145876901,,,,"$15,000 - $29,000"
147111901,,,,"$106,000 - $140,000"
145486001,,,,"$106,000 - $140,000"
146085551,,,,"$39,000 - $44,000"
146532001,,,,"$106,000 - $140,000"
146596001,,,,"$39,000 - $44,000"
149244101,,,,"$15,000"
146359451,,,,"$15,000 - $29,000"
146240401,,,,"$106,000 - $140,000"
144715401,,,,"$15,000 - $29,000"
145609351,,,,"$15,000 - $29,000"
147390951,,,,"$15,000"
144985751,,,,"$78,000 - $107,000"
148159201,,,,"$15,000"
147550451,,,,"$15,000 - $29,000"
145440151,,,,"$15,000"
148673251,,,,"$78,000 - $107,000"
144630751,,,,"$39,000 - $44,000"
147218051,,,,"$39,000 - $44,000"
147582851,,,,"$39,000 - $44,000"
145611751,Cold,,,
144539601,,,,"$106,000 - $140,000"
144747501,,,,"$39,000 - $44,000"
147775901,,,,"$106,000 - $140,000"
148299651,,,,"$15,000 - $29,000"
149235901,,,,"$39,000 - $44,000"
147913101,,,,"$15,000 - $29,000"
146492901,,,,"$15,000 - $29,000"
145305801,,,,"$15,000 - $29,000"
147625901,,,,"$15,000 - $29,000"
145116101,,,,"$39,000 - $44,000"
148433851,,,,"$15,000 - $29,000"
148958601,,,,"$39,000 - $44,000"
148156351,,,,"$15,000 - $29,000"
144985801,,,,"$15,000 - $29,000"
144679151,,,,"$39,000 - $44,000"
147126452,,,,"$39,000 - $44,000"
145251801,,,,"$15,000 - $29,000"
145360601,,,,"$15,000 - $29,000"
148379052,,,,"$15,000 - $29,000"
148567201,,,,"$15,000 - $29,000"
148786851,,,,"$39,000 - $44,000"
147967151,,,,"$15,000 - $29,000"
148684451,,,,"$106,000 - $140,000"
147160901,,,,"$106,000 - $140,000"
148376152,,,,"$15,000 - $29,000"
148689501,,,,"$15,000"
144289051,,,,"$106,000 - $140,000"
146386751,,,,"$15,000 - $29,000"
146297151,,,,"$15,000 - $29,000"
145491751,,,,"$106,000 - $140,000"
144490001,,,,"$78,000 - $107,000"
145527101,,,,"$15,000 - $29,000"
144565001,,,,"$15,000"
144885301,,,,"$15,000 - $29,000"
147731801,,,,"$15,000"
147068251,,,,"$15,000"
149285701,,,,"$15,000"
144270651,,,,"$15,000 - $29,000"
147153251,,,,"$15,000 - $29,000"
145953051,,,,"$15,000 - $29,000"
148466801,,,,"$39,000 - $44,000"
145173001,,,,"$78,000 - $107,000"
147658851,,,,"$15,000 - $29,000"
146384651,,,,"$15,000 - $29,000"
145768451,,,,"$15,000 - $29,000"
146425101,,,,"$15,000 - $29,000"
145020701,,,,"$15,000 - $29,000"
146414851,Warm,,,
146636801,,,,"$39,000 - $44,000"
145215001,,,,"$15,000"
148762651,,,,"$15,000 - $29,000"
147960601,,,,"$106,000 - $140,000"
148216351,,,,"$15,000 - $29,000"
144596051,,,,"$15,000 - $29,000"
147449351,,,,"$39,000 - $44,000"
146874901,,,,"$15,000 - $29,000"
145795951,,,,"$78,000 - $107,000"
146327901,,,,"$39,000 - $44,000"
146554201,,,,"$106,000 - $140,000"
146899751,,,,"$39,000 - $44,000"
145089101,,,,"$15,000"
145961051,,,,"$15,000"
146714452,,,,"$15,000 - $29,000"
146324051,,,,"$15,000 - $29,000"
145468251,,,,"$78,000 - $107,000"
148706351,,,,"$15,000 - $29,000"
147568701,,,,"$39,000 - $44,000"
147107901,,,,"$15,000 - $29,000"
150428151,,,,"$15,000 - $29,000"
151630601,,,,"> $200,000"
154150451,,,,"$15,000 - $29,000"
153335851,,,,"$39,000 - $44,000"
153735201,,,,"$39,000 - $44,000"
152192001,,,,"$15,000 - $29,000"
149355251,Warm,,,
153661501,,,,"$15,000 - $29,000"
151702301,,,,"$15,000 - $29,000"
155394651,,,,"$15,000 - $29,000"
152441101,,,,"$15,000 - $29,000"
152964101,,,,"$15,000 - $29,000"
155870801,,,,"$15,000"
152289551,,,,"$15,000 - $29,000"
152347401,,,,"$106,000 - $140,000"
155655001,,,,"$15,000 - $29,000"
150768351,,,,"$15,000 - $29,000"
152690751,,,,"$15,000"
155925601,,,,"$15,000 - $29,000"
152449851,,,,"$15,000 - $29,000"
155685751,,,,"$15,000 - $29,000"
150214851,,,,"$39,000 - $44,000"
149642451,,,,"$78,000 - $107,000"
151144251,,,,"$78,000 - $107,000"
149503701,,,,"$15,000 - $29,000"
155489401,,,,"$15,000 - $29,000"
150054351,,,,"$15,000 - $29,000"
151327301,Warm,,,
153998701,,,,"$15,000 - $29,000"
153510501,,,,"$15,000 - $29,000"
155494151,,,,"$78,000 - $107,000"
149635501,,,,"$39,000 - $44,000"
152213851,,,,"$15,000"
153507951,,,,"$39,000 - $44,000"
153508201,,,,"$15,000 - $29,000"
151616601,,,,"$39,000 - $44,000"
151416151,,,,"$15,000 - $29,000"
155133801,,,,"$39,000 - $44,000"
150843301,,,,"$39,000 - $44,000"
154517101,,,,"$15,000 - $29,000"
153648501,,,,"$15,000 - $29,000"
153896051,,,,"$15,000"
149775501,,,,"$15,000 - $29,000"
151340901,,,,"$78,000 - $107,000"
154912601,,,,"$15,000 - $29,000"
153503301,,,,"$15,000"
152613501,,,,"$15,000 - $29,000"
152278651,,,,"$78,000 - $107,000"
153072501,,,,"$15,000 - $29,000"
153347401,,,,"$39,000 - $44,000"
151569251,,,,"$15,000 - $29,000"
150837646,Cold,,,
154627651,,,,"$39,000 - $44,000"
152185701,,,,"$15,000 - $29,000"
149647251,,,,"$15,000"
154780351,,,,"$15,000 - $29,000"
155812801,,,,"$15,000 - $29,000"
150847351,,,,"$15,000 - $29,000"
149516901,,,,"$78,000 - $107,000"
152898701,,,,"$15,000"
150922351,,,,"$15,000 - $29,000"
150715501,,,,"$15,000 - $29,000"
153298101,,,,"$15,000 - $29,000"
149552501,,,,"$39,000 - $44,000"
152350601,,,,"$15,000"
155357151,,,,"$39,000 - $44,000"
149358201,,,,"> $200,000"
150982751,,,,"$39,000 - $44,000"
151150501,,,,"$15,000 - $29,000"
151175851,,,,"$15,000"
154892951,,,,"$15,000"
150009951,,,,"$15,000"
155226351,,,,"$15,000"
153457301,,,,"$15,000"
155955451,,,,"$15,000 - $29,000"
154759051,,,,"$15,000 - $29,000"
149811801,,,,"$15,000 - $29,000"
154208901,Warm,,,
152498851,,,,"$15,000"
155663601,,,,"$39,000 - $44,000"
155676401,,,,"$39,000 - $44,000"
154678401,,,,"$15,000 - $29,000"
152338351,,,,"$15,000 - $29,000"
153766801,,,,"$39,000 - $44,000"
151384251,,,,"$78,000 - $107,000"
152014001,,,,"$15,000"
153509351,,,,"$15,000"
155702401,,,,"$15,000 - $29,000"
154074601,,,,"$39,000 - $44,000"
151801301,,,,"$15,000"
150829601,,,,"$39,000 - $44,000"
155295901,,,,"$15,000"
153621751,,,,"$106,000 - $140,000"
155043801,,,,"$15,000 - $29,000"
152572401,,,,"$15,000 - $29,000"
155122901,,,,"$15,000"
155418551,,,,"$78,000 - $107,000"
150638351,,,,"$15,000 - $29,000"
152899051,,,,"$15,000"
149947151,,,,"$15,000 - $29,000"
156163151,,,,"$15,000"
161015451,,,,"$78,000 - $107,000"
159177851,,,,"$15,000 - $29,000"
158810751,Cold,,,
161931951,,,,"$15,000 - $29,000"
158050401,,,,"$15,000 - $29,000"
159212151,,,,"$106,000 - $140,000"
159026801,,,,"$15,000 - $29,000"
159810701,,,,"$39,000 - $44,000"
159032951,,,,"$15,000 - $29,000"
156543301,,,,"$15,000"
158873451,,,,"$39,000 - $44,000"
157418561,,,,"$15,000 - $29,000"
160638901,,,,"$78,000 - $107,000"
161210301,,,,"$15,000 - $29,000"
158368601,,,,"$15,000 - $29,000"
158827101,,,,"$15,000"
159023701,,,,"$39,000 - $44,000"
161557902,,,,"$78,000 - $107,000"
157329751,,,,"$15,000 - $29,000"
156545901,,,,"$15,000 - $29,000"
158367051,,,,"$39,000 - $44,000"
161941401,,,,"$15,000 - $29,000"
158965051,,,,"$15,000"
159088952,,,,"$106,000 - $140,000"
155995401,,,,"$15,000 - $29,000"
157483051,,,,"$39,000 - $44,000"
161965551,,,,"$39,000 - $44,000"
156751901,,,,"$50,000 - $65,000"
160933851,,,,"$15,000 - $29,000"
159988701,,,,"$15,000 - $29,000"
160421851,,,,"$15,000"
155981851,,,,"$15,000 - $29,000"
160655051,,,,"$39,000 - $44,000"
158562601,,,,"$15,000 - $29,000"
160559051,,,,"$15,000 - $29,000"
160418001,,,,"$15,000"
161391552,,,,"$15,000"
157098301,Cold,,,
159512801,,,,"> $200,000"
161147901,,,,"$39,000 - $44,000"
156422201,,,,"$15,000 - $29,000"
158003201,,,,"$15,000 - $29,000"
160847101,,,,"$15,000 - $29,000"
156749351,,,,"$15,000"
160901351,,,,"$15,000 - $29,000"
156922402,,,,"$50,000 - $65,000"
158256151,,,,"$15,000"
160969701,,,,"$15,000 - $29,000"
157324001,,,,"$15,000 - $29,000"
161843751,,,,"$15,000"
156835551,,,,"$15,000 - $29,000"
159219701,,,,"$78,000 - $107,000"
161213201,,,,"$15,000 - $29,000"
156782551,,,,"$15,000"
160579101,,,,"$15,000 - $29,000"
160492801,,,,"$15,000"
160165401,,,,"$39,000 - $44,000"
160526601,,,,"$78,000 - $107,000"
162110001,,,,"$15,000 - $29,000"
161680701,,,,"$15,000"
158777301,,,,"$106,000 - $140,000"
160976701,,,,"$78,000 - $107,000"
159477801,,,,"$15,000"
159005651,,,,"$15,000"
157391051,,,,"$78,000 - $107,000"
158126301,,,,"$15,000 - $29,000"
156990701,,,,"$15,000"
160903201,,,,"$78,000 - $107,000"
156432101,,,,"$39,000 - $44,000"
160561451,,,,"$15,000"
156726251,,,,"$15,000 - $29,000"
156582551,,,,"$15,000 - $29,000"
158644401,,,,"$15,000 - $29,000"
160336201,,,,"$15,000"
157356201,,,,"$15,000 - $29,000"
159173301,,,,"$15,000 - $29,000"
161941101,,,,"$106,000 - $140,000"
161661801,,,,"$15,000 - $29,000"
161699951,,,,"$15,000 - $29,000"
156009601,,,,"$15,000"
158981801,,,,"$15,000"
158285501,,,,"$15,000 - $29,000"
160843851,,,,"$78,000 - $107,000"
155961001,,,,"$39,000 - $44,000"
161812301,,,,"$15,000"
160775551,,,,"$39,000 - $44,000"
156178851,,,,"$15,000 - $29,000"
160615551,,,,"$15,000"
158389151,,,,"$15,000 - $29,000"
157660053,,,,"$15,000"
161562451,,,,"$78,000 - $107,000"
156861101,,,,"$106,000 - $140,000"
157132201,,,,"$15,000 - $29,000"
158159001,,,,"$15,000 - $29,000"
159322251,,,,"$39,000 - $44,000"
160161151,,,,"$15,000 - $29,000"
158349701,,,,"$15,000 - $29,000"
156353451,,,,"$15,000"
157975701,,,,"$15,000"
165513951,Cold,,,
167396601,,,,"$78,000 - $107,000"
163365301,,,,"$15,000 - $29,000"
164669401,,,,"$39,000 - $44,000"
162825401,,,,"$15,000 - $29,000"
163572401,,,,"$78,000 - $107,000"
165167051,,,,"$15,000 - $29,000"
166214651,,,,"$15,000 - $29,000"
165369551,,,,"$15,000 - $29,000"
162728101,,,,"$50,000 - $65,000"
163818201,,,,"> $200,000"
164934351,,,,"$15,000 - $29,000"
166338801,,,,"$15,000"
163150501,,,,"$15,000 - $29,000"
163046551,,,,"$15,000 - $29,000"
162136201,,,,"$15,000 - $29,000"
163736801,,,,"$15,000"
164527851,,,,"$15,000"
162555801,,,,"> $200,000"
163375501,,,,"$78,000 - $107,000"
164541951,,,,"$15,000 - $29,000"
164038901,,,,"$15,000 - $29,000"
163945201,,,,"$15,000 - $29,000"
166409951,,,,"$15,000 - $29,000"
166935751,,,,"$15,000 - $29,000"
162791301,,,,"$39,000 - $44,000"
166895301,,,,"$15,000 - $29,000"
165304551,,,,"$50,000 - $65,000"
166775501,Cold,,,
164599951,,,,"$78,000 - $107,000"
163874951,,,,"$15,000"
163437051,,,,"$15,000"
167356351,,,,"$8,000 - $13,000"
162452201,,,,"$15,000 - $29,000"
162520551,,,,"$15,000 - $29,000"
164859801,,,,"$15,000 - $29,000"
164451201,,,,"$15,000 - $29,000"
163992201,,,,"$15,000 - $29,000"
165351051,,,,"$15,000 - $29,000"
162974951,,,,"$15,000"
166530751,,,,"$15,000 - $29,000"
164946051,Hot,,,"$15,000"
167391651,,,,"$15,000 - $29,000"
165103501,,,,"$15,000 - $29,000"
162563051,,,,"$15,000 - $29,000"
164604051,,,,"$39,000 - $44,000"
164924851,,,,"$15,000 - $29,000"
167432851,,,,"$15,000 - $29,000"
166178701,,,,"$15,000 - $29,000"
166718851,,,,"$15,000 - $29,000"
163078101,,,,"$15,000 - $29,000"
164556451,,,,"$15,000 - $29,000"
162577601,,,,"$15,000"
164615101,,,,"$8,000 - $13,000"
167514251,,,,"$15,000"
165650851,,,,"$15,000 - $29,000"
165747101,,,,"$78,000 - $107,000"
165793951,,,,"$78,000 - $107,000"
165521501,,,,"$15,000 - $29,000"
166726002,,,,"$78,000 - $107,000"
166365801,,,,"$39,000 - $44,000"
166359151,,,,"$15,000"
165197651,,,,"$15,000"
166218851,,,,"$15,000 - $29,000"
162266151,,,,"$15,000"
163920201,,,,"$15,000 - $29,000"
166716001,,,,"$15,000 - $29,000"
164660801,,,,"$50,000 - $65,000"
162564901,,,,"$15,000"
162718501,,,,"$15,000 - $29,000"
165080651,,,,"$15,000 - $29,000"
163842651,,,,"$39,000 - $44,000"
167121001,,,,"$15,000 - $29,000"
167490651,Warm,,,
166804051,,,,"$15,000 - $29,000"
165279101,,,,"$39,000 - $44,000"
162753051,,,,"$15,000"
163664751,,,,"$15,000 - $29,000"
166822751,,,,"$15,000 - $29,000"
165489001,,,,"$15,000 - $29,000"
165333101,Cold,,,
165374051,,,,"$15,000 - $29,000"
164893551,,,,"$15,000 - $29,000"
165476451,,,,"$15,000"
164912401,,,,"$15,000 - $29,000"
163212651,,,,"$39,000 - $44,000"
163268451,,,,"$15,000 - $29,000"
164106001,,,,"$39,000 - $44,000"
167337251,,,,"$15,000 - $29,000"
164359701,,,,"$106,000 - $140,000"
162473551,,,,"$15,000 - $29,000"
165333051,Cold,,,
165742851,,,,"$15,000"
167107601,,,,"$15,000"
165435701,,,,"$15,000"
165091901,,,,"$15,000 - $29,000"
166231301,,,,"$15,000 - $29,000"
164219451,,,,"$39,000 - $44,000"
166260501,,,,"$39,000 - $44,000"
164731951,,,,"$15,000 - $29,000"
168720651,,,,"$39,000 - $44,000"
167908101,,,,"$15,000 - $29,000"
169253151,,,,"$15,000 - $29,000"
170248751,,,,"$15,000"
172472151,Cold,,,
169791501,,,,"$15,000"
169303051,,,,"$78,000 - $107,000"
169497351,,,,"$15,000 - $29,000"
168045851,,,,"$15,000 - $29,000"
168633901,,,,"$15,000 - $29,000"
171252501,,,,"$15,000"
169090101,,,,"$15,000 - $29,000"
169475901,,,,"$15,000 - $29,000"
171352851,,,,"$15,000"
170636301,,,,"$15,000 - $29,000"
168706601,,,,"$15,000 - $29,000"
171045401,,,,"$15,000 - $29,000"
171549201,,,,"$39,000 - $44,000"
172270701,,,,"$15,000 - $29,000"
167904301,,,,"$15,000 - $29,000"
169321001,,,,"$78,000 - $107,000"
170599701,Cold,,,
169086251,,,,"$15,000"
168901201,,,,"$15,000"
171169401,,,,"$15,000 - $29,000"
168474951,,,,"$15,000"
170173801,,,,"$39,000 - $44,000"
171025251,Cold,,,
168250451,,,,"$15,000"
171645551,,,,"$106,000 - $140,000"
172623901,,,,"$78,000 - $107,000"
172530451,,,,"$15,000"
171416151,Cold,,,
169426301,Warm,,,
168648551,,,,"$15,000 - $29,000"
170508101,,,,"$39,000 - $44,000"
169982801,,,,"$39,000 - $44,000"
167736201,,,,"$15,000"
172723251,,,,"$39,000 - $44,000"
170217051,,,,"$15,000"
172844851,,,,"$15,000"
168109701,,,,"$50,000 - $65,000"
170881451,,,,"$15,000 - $29,000"
169974951,,,,"$78,000 - $107,000"
169589651,,,,"$106,000 - $140,000"
168576901,,,,"$15,000 - $29,000"
168636551,,,,"$15,000"
168489601,,,,"$15,000"
171685301,,,,"$15,000 - $29,000"
170447551,,,,"$15,000 - $29,000"
170453951,Cold,,,
169180301,,,,"$15,000 - $29,000"
167901851,Cold,,,
170612401,,,,"$15,000 - $29,000"
167712351,,,,"$15,000 - $29,000"
171948701,,,,"$39,000 - $44,000"
167899301,,,,"$15,000 - $29,000"
168877751,,,,"$15,000"
171494801,,,,"$15,000 - $29,000"
168031401,,,,"$15,000 - $29,000"
170466951,,,,"$15,000 - $29,000"
170506651,,,,"$15,000 - $29,000"
171836301,,,,"$15,000 - $29,000"
169064101,Cold,,,
169697701,,,,"$15,000 - $29,000"
168640951,,,,"$15,000 - $29,000"
169287851,,,,"$15,000"
172054401,,,,"$15,000 - $29,000"
167832001,,,,"$15,000 - $29,000"
169286101,,,,"$39,000 - $44,000"
172715401,Cold,,,
168194501,,,,"$78,000 - $107,000"
170337251,,,,"$15,000"
172476801,,,,"$39,000 - $44,000"
170829801,,,,"$78,000 - $107,000"
171576051,,,,"$15,000"
172463501,,,,"$50,000 - $65,000"
170693601,,,,"$15,000 - $29,000"
167899601,,,,"$15,000"
172831901,,,,"$15,000 - $29,000"
171086051,,,,"$39,000 - $44,000"
172463251,,,,"$15,000"
167935451,,,,"$15,000 - $29,000"
168851402,,,,"$39,000 - $44,000"
168041951,,,,"$15,000 - $29,000"
172111001,Warm,,,
172283551,,,,"$39,000 - $44,000"
167678751,,,,"$15,000 - $29,000"
169540351,,,,"$15,000 - $29,000"
172464301,,,,"$15,000 - $29,000"
170805701,,,,"$78,000 - $107,000"
170460101,,,,"$15,000"
170750401,,,,"$15,000"
170319051,,,,"$15,000 - $29,000"
171709651,,,,"> $200,000"
171695051,,,,"$15,000 - $29,000"
172208051,,,,"$15,000 - $29,000"
172214451,,,,"$39,000 - $44,000"
168088051,,,,"$78,000 - $107,000"
169552101,,,,"$15,000"
174163301,,,,"$15,000 - $29,000"
177056651,,,,"$15,000"
174703201,,,,"$78,000 - $107,000"
178078101,,,,"$15,000 - $29,000"
173402201,,,,"$15,000 - $29,000"
173880401,,,,"$15,000 - $29,000"
174124401,,,,"$15,000 - $29,000"
178180751,,,,"$50,000 - $65,000"
176518551,,,,"$39,000 - $44,000"
176394901,,,,"$15,000 - $29,000"
176292501,,,,"$39,000 - $44,000"
175532651,,,,"$39,000 - $44,000"
173910851,,,,"$15,000 - $29,000"
173347701,,,,"$15,000 - $29,000"
177899451,,,,"$78,000 - $107,000"
178208701,,,,"$39,000 - $44,000"
174582351,,,,"$39,000 - $44,000"
176377001,,,,"$39,000 - $44,000"
177539001,,,,"$15,000 - $29,000"
177946551,,,,"$78,000 - $107,000"
173701751,,,,"$78,000 - $107,000"
173706101,,,,"$15,000"
174638151,,,,"$15,000"
176594601,,,,"$15,000 - $29,000"
178310801,,,,"$15,000 - $29,000"
177071551,,,,"$50,000 - $65,000"
173222501,,,,"$106,000 - $140,000"
175395651,,,,"$39,000 - $44,000"
173047401,,,,"$39,000 - $44,000"
173252201,,,,"$39,000 - $44,000"
177458351,,,,"$78,000 - $107,000"
178039001,,,,"$78,000 - $107,000"
174906401,,,,"$15,000 - $29,000"
173951501,,,,"$15,000 - $29,000"
175236901,,,,"$15,000 - $29,000"
176496851,,,,"$15,000"
177316551,,,,"$15,000 - $29,000"
178127301,,,,"$39,000 - $44,000"
174800951,,,,"$106,000 - $140,000"
174982451,,,,"$15,000 - $29,000"
175505451,,,,"$15,000 - $29,000"
173725701,,,,"$15,000"
177329651,,,,"$78,000 - $107,000"
177412852,,,,"$15,000"
177312251,,,,"$15,000 - $29,000"
175363102,,,,"$15,000 - $29,000"
175783701,,,,"$15,000 - $29,000"
176395251,,,,"$78,000 - $107,000"
176220401,,,,"$78,000 - $107,000"
178087151,,,,"$15,000 - $29,000"
174392851,,,,"$15,000 - $29,000"
177366501,,,,"$15,000"
176396801,,,,"$15,000 - $29,000"
175094251,,,,"$78,000 - $107,000"
173634001,,,,"$15,000 - $29,000"
173155801,,,,"$15,000 - $29,000"
175582951,,,,"$15,000 - $29,000"
177510151,,,,"$15,000 - $29,000"
173425601,,,,"$15,000 - $29,000"
176333851,,,,"$39,000 - $44,000"
174417151,,,,"$15,000 - $29,000"
177520651,,,,"$78,000 - $107,000"
176271651,,,,"$39,000 - $44,000"
177759551,,,,"$15,000"
176091351,,,,"$39,000 - $44,000"
178026551,Warm,,,
177148451,,,,"$15,000 - $29,000"
177088801,Warm,,,
173151201,,,,"$15,000 - $29,000"
175961551,,,,"$39,000 - $44,000"
175645901,,,,"$39,000 - $44,000"
175159751,,,,"$15,000 - $29,000"
175058901,,,,"$15,000 - $29,000"
173771751,,,,"$15,000 - $29,000"
175586251,,,,"$15,000 - $29,000"
175282101,,,,"$15,000 - $29,000"
175375801,,,,"$39,000 - $44,000"
178288751,,,,"$15,000 - $29,000"
174840251,,,,"$15,000 - $29,000"
176664151,,,,"$39,000 - $44,000"
174643902,,,,"$15,000"
175788451,,,,"$15,000 - $29,000"
174919351,,,,"$39,000 - $44,000"
174740401,,,,"$15,000 - $29,000"
175623851,,,,"$15,000 - $29,000"
177415501,,,,"$106,000 - $140,000"
173901501,Warm,,,"$39,000 - $44,000"
177079151,,,,"$15,000"
177439601,,,,"$15,000 - $29,000"
177629301,Cold,,,
177627251,,,,"$15,000 - $29,000"
178250101,,,,"$15,000 - $29,000"
176304751,,,,"$39,000 - $44,000"
178015601,,,,"$15,000 - $29,000"
176047501,,,,"$39,000 - $44,000"
177083001,,,,"$15,000 - $29,000"
178235751,,,,"$15,000 - $29,000"
176525951,,,,"$39,000 - $44,000"
174641301,,,,"$15,000"
177177201,,,,"$39,000 - $44,000"
180271551,,,,"$39,000 - $44,000"
179749301,,,,"$39,000 - $44,000"
178711201,,,,"$39,000 - $44,000"
179024801,,,,"$15,000 - $29,000"
178678701,,,,"$15,000 - $29,000"
180195251,,,,"$39,000 - $44,000"
179945901,,,,"$78,000 - $107,000"
180816851,,,,"$15,000 - $29,000"
179385001,,,,"$15,000 - $29,000"
179327401,,,,"$78,000 - $107,000"
180272551,,,,"$15,000"
181115601,,,,"$15,000 - $29,000"
181506801,,,,"$15,000 - $29,000"
178919051,,,,"$39,000 - $44,000"
